S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
957,10509,m,16,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,1,3,September,2018
958,10510,f,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,2,September,2018
959,10511,m,45,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,August,2018
960,10512,f,43,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,November,2018
961,10513,m,29,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,October,2018
962,10514,m,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,7,October,2018
963,10515,m,66,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,7,October,2018
964,10516,f,78,N,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,3,7,November,2018
965,10517,f,32,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,10,November,2018
966,10518,f,56,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,May,2018
967,10519,m,17,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,July,2018
968,10520,m,31,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,14,April,2018
969,10521,m,20,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,October,2018
970,10522,f,38,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,November,2018
971,10523,m,32,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,May,2018
972,10524,f,75,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,16,May,2018
973,10525,m,60,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,April,2018
974,10526,f,54,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,June,2018
975,10527,m,59,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,June,2018
976,10528,m,55,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,July,2018
977,10529,f,55,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,8,22,July,2018
978,10530,f,21,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,8,22,August,2018
979,10531,m,45,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,May,2018
980,10532,m,44,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,May,2018
